borough,neighborhood,id,race,estimate
Bronx,Williamsbridge-Olinville                                       ,BX44,WtNHE,1430.0
Bronx,Parkchester                                                    ,BX46,WtNHE,1101.0
Bronx,Pelham Parkway                                                 ,BX49,WtNHE,11267.0
Bronx,Schuylerville-Throgs Neck-Edgewater Park                       ,BX52,WtNHE,21937.0
Bronx,Soundview-Bruckner                                             ,BX55,WtNHE,690.0
Bronx,Westchester-Unionport                                          ,BX59,WtNHE,1434.0
Bronx,Woodlawn-Wakefield                                             ,BX62,WtNHE,7482.0
Bronx,West Concourse                                                 ,BX63,WtNHE,662.0
Bronx,Crotona Park East                                              ,BX75,WtNHE,239.0
Bronx,Rikers Island                                                  ,BX98,WtNHE,594.0
Bronx,park-cemetery-etc-Bronx                                        ,BX99,WtNHE,
Manhattan,Marble Hill-Inwood                                             ,MN01,WtNHE,7256.0
Manhattan,Central Harlem North-Polo Grounds                              ,MN03,WtNHE,6412.0
Manhattan,Hamilton Heights                                               ,MN04,WtNHE,7390.0
Manhattan,Manhattanville                                                 ,MN06,WtNHE,2230.0
Manhattan,Morningside Heights                                            ,MN09,WtNHE,26275.0
Manhattan,Central Harlem South                                           ,MN11,WtNHE,8882.0
Manhattan,Upper West Side                                                ,MN12,WtNHE,91812.0
Manhattan,Hudson Yards-Chelsea-Flat Iron-Union Square                    ,MN13,WtNHE,46551.0
Manhattan,Lincoln Square                                                 ,MN14,WtNHE,44051.0
Manhattan,Clinton                                                        ,MN15,WtNHE,24483.0
Manhattan,Midtown-Midtown South                                          ,MN17,WtNHE,18678.0
Manhattan,Turtle Bay-East Midtown                                        ,MN19,WtNHE,36530.0
Manhattan,Murray Hill-Kips Bay                                           ,MN20,WtNHE,32081.0
Manhattan,Gramercy                                                       ,MN21,WtNHE,20018.0
Manhattan,East Village                                                   ,MN22,WtNHE,29235.0
Manhattan,West Village                                                   ,MN23,WtNHE,53302.0
Manhattan,SoHo-TriBeCa-Civic Center-Little Italy                         ,MN24,WtNHE,27709.0
Manhattan,Battery Park City-Lower Manhattan                              ,MN25,WtNHE,26157.0
Manhattan,Chinatown                                                      ,MN27,WtNHE,7475.0
Manhattan,Lower East Side                                                ,MN28,WtNHE,16828.0
Manhattan,Lenox Hill-Roosevelt Island                                    ,MN31,WtNHE,59767.0
Manhattan,Yorkville                                                      ,MN32,WtNHE,59764.0
Manhattan,East Harlem South                                              ,MN33,WtNHE,11660.0
Manhattan,East Harlem North                                              ,MN34,WtNHE,4892.0
Manhattan,Washington Heights North                                       ,MN35,WtNHE,18871.0
Manhattan,Washington Heights South                                       ,MN36,WtNHE,9479.0
Manhattan,Upper East Side-Carnegie Hill                                  ,MN40,WtNHE,50560.0
Manhattan,Stuyvesant Town-Cooper Village                                 ,MN50,WtNHE,16565.0
Manhattan,park-cemetery-etc-Manhattan                                    ,MN99,WtNHE,
Queens,South Jamaica                                                  ,QN01,WtNHE,246.0
Queens,Springfield Gardens North                                      ,QN02,WtNHE,322.0
Queens,Springfield Gardens South-Brookville                           ,QN03,WtNHE,289.0
Queens,Rosedale                                                       ,QN05,WtNHE,1395.0
Queens,Jamaica Estates-Holliswood                                     ,QN06,WtNHE,6424.0
Queens,Hollis                                                         ,QN07,WtNHE,523.0
Queens,St. Albans                                                     ,QN08,WtNHE,613.0
Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad                  ,QN10,WtNHE,22927.0
